Time,1,2,3,R1,V_C1,R2,V1
0,5,5,10,-0.5,0.5,-0.5,0.5
0.001,5.00025,4.99975,10,-0.500025,0.500025,-0.500025,0.500025
0.002,5.0005,4.9995,10,-0.50005,0.50005,-0.50005,0.50005
0.003,5.00075,4.99925,10,-0.500075,0.500075,-0.500075,0.500075
0.004,5.001,4.999,10,-0.5001,0.5001,-0.5001,0.5001
0.005,5.00125,4.99875,10,-0.500125,0.500125,-0.500125,0.500125
0.006,5.0015,4.9985,10,-0.50015,0.50015,-0.50015,0.50015
0.007,5.00175,4.99825,10,-0.500175,0.500175,-0.500175,0.500175
0.008,5.002,4.998,10,-0.5002,0.5002,-0.5002,0.5002
0.009,5.00225,4.99775,10,-0.500225,0.500225,-0.500225,0.500225
0.01,5.0025,4.9975,10,-0.50025,0.50025,-0.50025,0.50025
0.011,5.00275,4.99725,10,-0.500275,0.500275,-0.500275,0.500275
0.012,5.003,4.997,10,-0.5003,0.5003,-0.5003,0.5003
0.013,5.00325,4.99675,10,-0.500325,0.500325,-0.500325,0.500325
0.014,5.0035,4.9965,10,-0.50035,0.50035,-0.50035,0.50035
0.015,5.00375,4.99625,10,-0.500375,0.500375,-0.500375,0.500375
0.016,5.004,4.996,10,-0.5004,0.5004,-0.5004,0.5004
0.017,5.00425,4.99575,10,-0.500425,0.500425,-0.500425,0.500425
0.018,5.0045,4.9955,10,-0.50045,0.50045,-0.50045,0.50045
0.019,5.00475,4.99525,10,-0.500475,0.500475,-0.500475,0.500475
0.02,5.005,4.995,10,-0.5005,0.5005,-0.5005,0.5005
0.021,5.00525,4.99475,10,-0.500525,0.500525,-0.500525,0.500525
0.022,5.0055,4.9945,10,-0.50055,0.50055,-0.50055,0.50055
0.023,5.00575,4.99425,10,-0.500575,0.500575,-0.500575,0.500575
0.024,5.006,4.994,10,-0.5006,0.5006,-0.5006,0.5006
0.025,5.00625,4.99375,10,-0.500625,0.500625,-0.500625,0.500625
0.026,5.0065,4.9935,10,-0.50065,0.50065,-0.50065,0.50065
0.027,5.00675,4.99325,10,-0.500675,0.500675,-0.500675,0.500675
0.028,5.007,4.993,10,-0.5007,0.5007,-0.5007,0.5007
0.029,5.00726,4.99274,10,-0.500726,0.500726,-0.500726,0.500726
0.03,5.00751,4.99249,10,-0.500751,0.500751,-0.500751,0.500751
0.031,5.00776,4.99224,10,-0.500776,0.500776,-0.500776,0.500776
0.032,5.00801,4.99199,10,-0.500801,0.500801,-0.500801,0.500801
0.033,5.00826,4.99174,10,-0.500826,0.500826,-0.500826,0.500826
0.034,5.00851,4.99149,10,-0.500851,0.500851,-0.500851,0.500851
0.035,5.00876,4.99124,10,-0.500876,0.500876,-0.500876,0.500876
0.036,5.00901,4.99099,10,-0.500901,0.500901,-0.500901,0.500901
0.037,5.00926,4.99074,10,-0.500926,0.500926,-0.500926,0.500926
0.038,5.00951,4.99049,10,-0.500951,0.500951,-0.500951,0.500951
0.039,5.00976,4.99024,10,-0.500976,0.500976,-0.500976,0.500976
0.04,5.01001,4.98999,10,-0.501001,0.501001,-0.501001,0.501001
0.041,5.01026,4.98974,10,-0.501026,0.501026,-0.501026,0.501026
0.042,5.01051,4.98949,10,-0.501051,0.501051,-0.501051,0.501051
0.043,5.01076,4.98924,10,-0.501076,0.501076,-0.501076,0.501076
0.044,5.01101,4.98899,10,-0.501101,0.501101,-0.501101,0.501101
0.045,5.01126,4.98874,10,-0.501126,0.501126,-0.501126,0.501126
0.046,5.01151,4.98849,10,-0.501151,0.501151,-0.501151,0.501151
0.047,5.01176,4.98824,10,-0.501176,0.501176,-0.501176,0.501176
0.048,5.01201,4.98799,10,-0.501201,0.501201,-0.501201,0.501201
0.049,5.01226,4.98774,10,-0.501226,0.501226,-0.501226,0.501226
0.05,5.01252,4.98748,10,-0.501252,0.501252,-0.501252,0.501252
0.051,5.01277,4.98723,10,-0.501277,0.501277,-0.501277,0.501277
0.052,5.01302,4.98698,10,-0.501302,0.501302,-0.501302,0.501302
0.053,5.01327,4.98673,10,-0.501327,0.501327,-0.501327,0.501327
0.054,5.01352,4.98648,10,-0.501352,0.501352,-0.501352,0.501352
0.055,5.01377,4.98623,10,-0.501377,0.501377,-0.501377,0.501377
0.056,5.01402,4.98598,10,-0.501402,0.501402,-0.501402,0.501402
0.057,5.01427,4.98573,10,-0.501427,0.501427,-0.501427,0.501427
0.058,5.01452,4.98548,10,-0.501452,0.501452,-0.501452,0.501452
0.059,5.01477,4.98523,10,-0.501477,0.501477,-0.501477,0.501477
0.06,5.01502,4.98498,10,-0.501502,0.501502,-0.501502,0.501502
0.061,5.01527,4.98473,10,-0.501527,0.501527,-0.501527,0.501527
0.062,5.01552,4.98448,10,-0.501552,0.501552,-0.501552,0.501552
0.063,5.01577,4.98423,10,-0.501577,0.501577,-0.501577,0.501577
0.064,5.01603,4.98397,10,-0.501603,0.501603,-0.501603,0.501603
0.065,5.01628,4.98372,10,-0.501628,0.501628,-0.501628,0.501628
0.066,5.01653,4.98347,10,-0.501653,0.501653,-0.501653,0.501653
0.067,5.01678,4.98322,10,-0.501678,0.501678,-0.501678,0.501678
0.068,5.01703,4.98297,10,-0.501703,0.501703,-0.501703,0.501703
0.069,5.01728,4.98272,10,-0.501728,0.501728,-0.501728,0.501728
0.07,5.01753,4.98247,10,-0.501753,0.501753,-0.501753,0.501753
0.071,5.01778,4.98222,10,-0.501778,0.501778,-0.501778,0.501778
0.072,5.01803,4.98197,10,-0.501803,0.501803,-0.501803,0.501803
0.073,5.01828,4.98172,10,-0.501828,0.501828,-0.501828,0.501828
0.074,5.01853,4.98147,10,-0.501853,0.501853,-0.501853,0.501853
0.075,5.01878,4.98122,10,-0.501878,0.501878,-0.501878,0.501878
0.076,5.01904,4.98096,10,-0.501904,0.501904,-0.501904,0.501904
0.077,5.01929,4.98071,10,-0.501929,0.501929,-0.501929,0.501929
0.078,5.01954,4.98046,10,-0.501954,0.501954,-0.501954,0.501954
0.079,5.01979,4.98021,10,-0.501979,0.501979,-0.501979,0.501979
0.08,5.02004,4.97996,10,-0.502004,0.502004,-0.502004,0.502004
0.081,5.02029,4.97971,10,-0.502029,0.502029,-0.502029,0.502029
0.082,5.02054,4.97946,10,-0.502054,0.502054,-0.502054,0.502054
0.083,5.02079,4.97921,10,-0.502079,0.502079,-0.502079,0.502079
0.084,5.02104,4.97896,10,-0.502104,0.502104,-0.502104,0.502104
0.085,5.02129,4.97871,10,-0.502129,0.502129,-0.502129,0.502129
0.086,5.02155,4.97845,10,-0.502155,0.502155,-0.502155,0.502155
0.087,5.0218,4.9782,10,-0.50218,0.50218,-0.50218,0.50218
0.088,5.02205,4.97795,10,-0.502205,0.502205,-0.502205,0.502205
0.089,5.0223,4.9777,10,-0.50223,0.50223,-0.50223,0.50223
0.09,5.02255,4.97745,10,-0.502255,0.502255,-0.502255,0.502255
0.091,5.0228,4.9772,10,-0.50228,0.50228,-0.50228,0.50228
0.092,5.02305,4.97695,10,-0.502305,0.502305,-0.502305,0.502305
0.093,5.0233,4.9767,10,-0.50233,0.50233,-0.50233,0.50233
0.094,5.02355,4.97645,10,-0.502355,0.502355,-0.502355,0.502355
0.095,5.02381,4.97619,10,-0.502381,0.502381,-0.502381,0.502381
0.096,5.02406,4.97594,10,-0.502406,0.502406,-0.502406,0.502406
0.097,5.02431,4.97569,10,-0.502431,0.502431,-0.502431,0.502431
0.098,5.02456,4.97544,10,-0.502456,0.502456,-0.502456,0.502456
0.099,5.02481,4.97519,10,-0.502481,0.502481,-0.502481,0.502481
0.1,5.02506,4.97494,10,-0.502506,0.502506,-0.502506,0.502506
0.101,5.02531,4.97469,10,-0.502531,0.502531,-0.502531,0.502531
0.102,5.02556,4.97444,10,-0.502556,0.502556,-0.502556,0.502556
0.103,5.02582,4.97418,10,-0.502582,0.502582,-0.502582,0.502582
0.104,5.02607,4.97393,10,-0.502607,0.502607,-0.502607,0.502607
0.105,5.02632,4.97368,10,-0.502632,0.502632,-0.502632,0.502632
0.106,5.02657,4.97343,10,-0.502657,0.502657,-0.502657,0.502657
0.107,5.02682,4.97318,10,-0.502682,0.502682,-0.502682,0.502682
0.108,5.02707,4.97293,10,-0.502707,0.502707,-0.502707,0.502707
0.109,5.02732,4.97268,10,-0.502732,0.502732,-0.502732,0.502732
0.11,5.02758,4.97242,10,-0.502758,0.502758,-0.502758,0.502758
0.111,5.02783,4.97217,10,-0.502783,0.502783,-0.502783,0.502783
0.112,5.02808,4.97192,10,-0.502808,0.502808,-0.502808,0.502808
0.113,5.02833,4.97167,10,-0.502833,0.502833,-0.502833,0.502833
0.114,5.02858,4.97142,10,-0.502858,0.502858,-0.502858,0.502858
0.115,5.02883,4.97117,10,-0.502883,0.502883,-0.502883,0.502883
0.116,5.02908,4.97092,10,-0.502908,0.502908,-0.502908,0.502908
0.117,5.02933,4.97067,10,-0.502933,0.502933,-0.502933,0.502933
0.118,5.02959,4.97041,10,-0.502959,0.502959,-0.502959,0.502959
